date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:49:32	4644/4644	---M-Z	200	added ('OK')	text/html	etag:%221224-67a47c8c-90e68634404fc50f;gz%22	https://besttipperonline.xyz/anna_punjabi.html	C:/Users/perfect/Desktop/bestcri/besttipperonline.xyz/anna_punjabi.html	(from )
22:49:38	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63c84b7a-26e459391922c307;gz%22	https://besttipperonline.xyz/robots.txt		(from )
22:49:41	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63c84b7a-26e459391922c307;gz%22	https://besttipperonline.xyz/css/font-awesome.min.css	C:/Users/perfect/Desktop/bestcri/besttipperonline.xyz/css/font-awesome.min.css	(from https://besttipperonline.xyz/anna_punjabi.html)
22:49:42	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63c84b7a-26e459391922c307;gz%22	https://besttipperonline.xyz/assets/vendor/bootstrap/css/bootstrap.min.css	C:/Users/perfect/Desktop/bestcri/besttipperonline.xyz/assets/vendor/bootstrap/css/bootstrap.min.css	(from https://besttipperonline.xyz/anna_punjabi.html)
22:49:43	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%226599bda5-317b%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.3/css/all.min.css	C:/Users/perfect/Desktop/bestcri/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.3/css/all.min.css	(from https://besttipperonline.xyz/anna_punjabi.html)
22:49:44	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63c84b7a-26e459391922c307;gz%22	https://besttipperonline.xyz/assets/vendor/bootstrap-icons/bootstrap-icons.css	C:/Users/perfect/Desktop/bestcri/besttipperonline.xyz/assets/vendor/bootstrap-icons/bootstrap-icons.css	(from https://besttipperonline.xyz/anna_punjabi.html)
22:49:45	160302/160302	---MCZ	200	added ('OK')	text/css	etag:W/%22816af0eddd3b4822c2756227c7e7b7ee%22	https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css	C:/Users/perfect/Desktop/bestcri/stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css	(from https://besttipperonline.xyz/anna_punjabi.html)
22:50:02	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63c84b7a-26e459391922c307;gz%22	https://besttipperonline.xyz/assets/vendor/swiper/swiper-bundle.min.css	C:/Users/perfect/Desktop/bestcri/besttipperonline.xyz/assets/vendor/swiper/swiper-bundle.min.css	(from https://besttipperonline.xyz/anna_punjabi.html)
22:50:05	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63c84b7a-26e459391922c307;gz%22	https://besttipperonline.xyz/assets/vendor/glightbox/css/glightbox.min.css	C:/Users/perfect/Desktop/bestcri/besttipperonline.xyz/assets/vendor/glightbox/css/glightbox.min.7.delayed	(from https://besttipperonline.xyz/anna_punjabi.html)
22:50:10	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63c84b7a-26e459391922c307;gz%22	https://besttipperonline.xyz/assets/vendor/aos/aos.css	C:/Users/perfect/Desktop/bestcri/besttipperonline.xyz/assets/vendor/aos/aos.css	(from https://besttipperonline.xyz/anna_punjabi.html)
